saved,educ_low,female,age,educ,emp_in,mobileowner
1,1,2,21,2,1,1
0,1,2,29,1,1,1
1,0,1,34,3,1,1
0,1,1,15,2,2,1
1,1,1,23,2,1,1
0,1,1,19,2,1,1
0,1,2,20,2,1,1
1,0,1,27,3,1,1
1,1,2,41,2,1,1
0,1,2,41,1,1,1
0,1,1,45,2,1,1
0,1,2,30,2,1,1
1,1,1,28,2,1,1
0,0,2,39,3,1,1
1,1,1,26,2,1,1
0,1,1,24,1,1,1
1,1,2,19,2,1,1
0,1,1,27,2,1,1
0,1,2,30,2,1,1
0,1,2,32,2,1,1
0,1,1,25,2,1,1
0,1,1,50,2,1,1
0,1,1,46,1,1,1
0,1,2,27,2,1,1
1,0,2,39,3,1,1
0,1,2,44,2,1,1
1,1,1,64,2,2,1
1,0,2,56,3,1,1
1,1,2,64,1,1,1
0,1,1,54,1,1,1
0,1,2,45,2,1,1
0,1,1,28,1,1,1
1,1,1,31,2,1,1
0,1,2,18,2,1,1
0,1,2,33,2,1,1
0,1,1,24,2,1,1
0,1,1,30,2,1,1
0,1,1,22,1,1,1
1,1,2,20,2,1,1
0,1,2,17,2,1,2
1,1,1,19,2,2,1
0,1,2,29,2,1,1
1,1,1,24,2,2,1
0,1,2,16,2,2,1
1,1,1,21,2,1,1
1,1,2,30,2,1,1
0,1,2,28,2,1,2
0,0,1,48,3,1,1
1,1,1,23,2,1,1
0,1,2,24,2,1,1
0,1,1,29,2,1,1
0,1,1,65,2,2,1
1,0,2,28,3,1,1
1,1,2,24,2,1,1
